Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
OFFICE OF LABOR RELATIONS,1,COMMUNITY COORDINATOR,2026-01-15,,62868,97593,80230
DEPT OF DESIGN & CONSTRUCTION,1,CIVIL ENGINEER,2025-12-19,"Please note the following preferred skills for this position:  1.	Should have three years or more as Resident Engineer experience and knowledge of various types of capital construction and consultant contracts. 2.	Possess construction experience related to infrastructure work (i.e., roadway, sewer, and/or water main) 3.	Outstanding verbal and written communication skills 4.	Proficiency in Microsoft Office and AutoCAD 5.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 6.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 7.	Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 8.	Valid driver's license (required) 9.	Personal vehicle (preferred)",93614,107656,100635
BRONX DISTRICT ATTORNEY,1,COMMUNITY COORDINATOR,2026-01-09,"- Experience with an understanding of victimology and knowledge of trauma informed care.   - Experience and ability to provide confidential clinical therapeutic mental health services required.  - Familiarity with general court services and criminal law enforcement processes preferred.  - Ability to both interact and be comfortable with a diverse population.  - Exceptional organizational skills and strong attention to detail.  - Excellent interpersonal, oral, and written communication skills.  - Proficient in Microsoft Office particularly Word, Excel, and Outlook.  - Ability to work in a fast-paced environment.",79761,79761,79761
LAW DEPARTMENT,65,ASSISTANT CORPORATION COUNSEL,2025-06-20,,87737,87737,87737
DEPT OF ENVIRONMENT PROTECTION,1,PROCUREMENT ANALYST,2026-01-20,"1.	MS Office including Word, Excel and PowerPoint 2.	NYC Procurement Policy Board Rules  3.	Comptroller Directives  4.	PASSport  5.	Financial Management System (FMS/3)",67541,90000,78770
DEPT OF HEALTH/MENTAL HYGIENE,1,ADMINISTRATIVE PUBLIC HEALTH N,2026-01-22,,68214,128750,98482
DEPARTMENT OF BUSINESS SERV.,1,ADMINISTRATIVE STAFF ANALYST,2026-01-06,"- A minimum of 5 years of experience preferably in business services and/ or economic development, and history managing multiple programs as part of a client service portfolio,   - Experience in managing staff responsible for business service delivery and implementing operational programs  - Familiarity with the range of existing business incentives available to NYC businesses, along with a solid understanding of the commercial and industrial landscape across the five boroughs  - Proficient in developing, managing and delivering federal, state, and municipal business incentives which can include but limited to tax credits and rebates, and utility and energy programs to support commercial and industrial business retention, relocation, and expansion  - Experience in relationship building with external stakeholders including other City agencies, community-based organizations and utility delivery staff and management.  - Experienced in developing new programs to assist businesses, particularly in the areas of business taxation and grants  - A proven track record of working with industrial and commercial businesses in a metropolitan setting  - Professional communication and writing skills  - Proficiency in Microsoft Word, PowerPoint, and Excel  - Project management skills  - Public speaking and leading workshops and information forums   - Experience supervising staff and building a strong team dynamic",94050,108000,101025
DEPT OF DESIGN & CONSTRUCTION,1,CITY PLANNER,2025-12-23,"Please note the following preferred skills for this position:  1.	Outstanding verbal and written communication skills 2.	Proficiency in Microsoft Office 3.	Project management knowledge relevant to infrastructure work (i.e., roadway, sewer, and/or water main)  4.	Should demonstrate to be detail orientated, with the ability to manage projects and complete multiple multi-trade projects on schedule. 5.	Experience with stormwater management projects, as well as a background in sustainable and resilient design and rating systems 6.	Proficient in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 7.	Valid driver's license (optional but highly recommended) 8.	Personal vehicle (optional)",66330,76279,71304
DEPT OF DESIGN & CONSTRUCTION,1,STAFF ANALYST,2025-12-18,Proficient in Excel and FMS3 (the City’s financial management system).,72595,83484,78040
DEPT OF HEALTH/MENTAL HYGIENE,1,COLLEGE AIDE (ALL CITY DEPTS),2026-01-22,,36400,45552,40976
HOUSING PRESERVATION & DVLPMNT,1,COMMUNITY ASSOCIATE,2026-01-25,,44545,51227,47886
NYC HOUSING AUTHORITY,1,CARETAKER (HA),2026-01-15,,38291,53779,46035
DEPARTMENT OF TRANSPORTATION,1,ACCOUNTANT,2026-01-15,Understanding of FMS2 Understanding of FMS3 Passport Experience Understanding of NYC budget process Proficient with MS office Understanding of Personnel Service(PS) Budget Process Understanding of Other Than Personnel Service (OTPS) Budget Process Experience working with Vendors Invoice Processing,65091,104135,84613
DEPT OF HEALTH/MENTAL HYGIENE,2,COMMUNITY COORDINATOR,2025-12-11,,62868,75000,68934
DEPARTMENT OF PROBATION,1,DEPUTY DIRECTOR OF PROBATION (,2026-01-30,"•	Ability to analyze and recommend policies and procedures with strategic foresight. •	Ability to propose innovative approaches to complex problems. •	Ability to inspire and motivate adult probation staff to embrace and implement new approaches or goals as determined collaboratively with the Commissioner. •	Comprehensive knowledge of New York City and State Court Systems, probation/social service case work principles and regulations, trends and developments in the probation field and best practices in the area of motivating persons under supervision to lead law abiding lives. •	Proven ability to present the agency’s position in meetings with high level officials and other government and private entities.",124026,280567,202296
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH SANITARIAN,2025-12-10,,53132,53132,53132
DEPT OF HEALTH/MENTAL HYGIENE,1,COMMUNITY COORDINATOR,2024-05-30,,59116,70087,64602
DEPT OF HEALTH/MENTAL HYGIENE,1,AGENCY MEDICAL DIRECTOR,2025-12-17,,113690,261048,187369
